name,line
Mel0n,like 200 eur a year
Mel0n,i saw some nice ones somewhere
Almond™ of the day.,I am interested in the game
Con,"Bosses be like ""what's this *legally* thing you speak of? Is it a location?"""
Almond™ of the day.,<:eqeqeq:534427246488977418>
Almond™ of the day.,You've got the cure?
Con,Wtf xD
Almond™ of the day.,It knows what its purpose in life is. I envy it.
Con,"except that time i had gastritis, it was 10+ times per day <:nein:534430066877136899>"
Meldanen ( ͡° ͜ʖ ͡°),I. AM. THE. BUTT.
Turok,Soff
Kahlan,Ridiculous be don't
Con,Ginko and aftiou are best ❤️
Almond™ of the day.,I forgot about ESO. I should play it again at some point
Meldanen ( ͡° ͜ʖ ͡°),<:eqeqeq:534427246488977418>
Mel0n,i managed to split them quite nicely
giannakisftw,xD
giannakisftw,i have a cute? also envy me on how often i go on vacation? lol..... also envy how i can afford it?0.o
giannakisftw,although i like and approve the idea of ultra instinct queen
Con,"Had a dream that I went to get a vaccine, but regular flu vaccine and the hospital was somehow a skyscraper with like 90 floors and i had to go to the 40something floor. There were some floors missing for some reason. 
After i got the vaccine, I had to wait for someone to pick me up so I went to explore some nearby dungeons and I found some golden byzantine coins in it and a platinum one, they were really heavy. I casually took them and left the dungeon and went outside to wait and while i was walking, one of my teeth was loose and i fiddled with it and it fell."
Mel0n,nuuu
giannakisftw,"Melon: what are ee we doing to morrow kri?
Kiri: same thing we do every night melon. We plan to take over the world.
They are melon and kiri, they are melon and  kiri, they are melon  and kri kiri kiri kiri kri."
Con,"fanous was pretty ok prices, unless they changed since the last time i went"
giannakisftw,<:luv:589353176692555800>
Meldanen ( ͡° ͜ʖ ͡°),https://www.youtube.com/watch?v=y90yaLFoYoA
Mel0n,Its a figure of Keanu in cyberpunk and I commented below that it's breathtaking
Kahlan,It's lasted so long
Kahlan,Is gintama going thru the other anime timelines 🤣
Con,not the best but not bad either
Mel0n,lol oke
Meldanen ( ͡° ͜ʖ ͡°),¯\_(ツ)_/¯
Con,i thought you also watched aot?
milkypaws,and the guys from Iron Key might do tutorials at around 8-9ish as well
Con,We have taught you well
Kahlan,"Yeah the other is BB8, mostly BB for short cos my family is lazy to say BB eight"
Mel0n,like every year before it
Kahlan,when  i was a kid that's all the cypriot kids would do
giannakisftw,font deny the truth
Con,one does not simply delete all the games
Mel0n,then we looked for more and then we did this one
Con,i saw some of Ross' iron spectates 😂
Almond™ of the day.,You didn't
Almond™ of the day.,You watch AI playing chess?
Con,same
Con,"They are also adding a lot of spellvamp stuff, so even without stacking thornmail you can still make great tank builds"
Con,noooooooo poor things <:sadness:534426569406545921>
giannakisftw,https://www.netflix.com/cy/title/81002576?fbclid=IwAR2JWK6iCD40C5tkjtksCK8h-8JQjAyJF6DN9IvfatiCpXOBheTYnr7tg6Q&trkid=253492423&s=a&t=more&extra=81088278
Con,Only doctors would know and I don't even know who is who
Almond™ of the day.,ewwww nooooo
giannakisftw,maybe thats what it is about
Mel0n,nai
Mel0n,what a fantastic dream
giannakisftw,"oi, estella tou minimata me sinefa kapnou"
giannakisftw,to be honest i dont mind about the censoring.... what concerns me... i saw the ffirst episode... is that  power level shit gonna keep going?
HITM0N,<:eqeqeq:534427246488977418>
Kahlan,https://c.tenor.com/K226rDDcZDsAAAAM/shrug-what.gif
Kahlan,we were laughing at the emojis in our name it reads out too xD
Almond™ of the day.,probably called monki or something unimaginative like that
Kahlan,finally get a bunch of worthy friends who don't use you<:eqeqeq:534427246488977418>
Mel0n,what time did you go
Mel0n,cooked salmon?
Mel0n,really happy with my work
giannakisftw,rofl xD
Mel0n,Glen has missed the part where I repeatedly said that my foot is injured
Almond™ of the day.,I don't remember what it was but the other person had to authorise something. All I remember for sure is that it wasn't sending the dollah.
Almond™ of the day.,"We should have pretended it was the first time we're seeing it, so Melon thinks we're all ignoring her."
Con,i'm 300 psd
giannakisftw,what????
milkypaws,you have
Nodtriel,Now get back to work!
Kahlan,blow
Turok,OI know
incognito,@G Xoxo🌷:) https://www.ergodotisi.com/en/
giannakisftw,0.o
Meldanen ( ͡° ͜ʖ ͡°),what a creep
Kahlan,AHAHAH
giannakisftw,i choose to spend more
Kahlan,"Quick google search and that age range isn't the limit on sets that are supposed to be toys, it's to give you an idea for what age range you are buying for"
Almond™ of the day.,Ok then
Kahlan,RIP
Nodtriel,:p
Meldanen ( ͡° ͜ʖ ͡°),-play ise xomenos sta skata
Meldanen ( ͡° ͜ʖ ͡°),Well
giannakisftw,-.-
Con,or Coco Ikea?
Almond™ of the day.,https://tenor.com/view/magic-shia-labeouf-snl-skit-fingers-gif-4860090
Kahlan,every time we open the door he runs in and hoovers the kitchen floor for any crumbs of food
giannakisftw,"so its a really simple memory game, with a tiny dose of bluff...."
giannakisftw,"yea, auto chess. neither i"
giannakisftw,this person took it to a w hole new level
Turok,yes <:eqeqeq:534427246488977418>
Mel0n,thanks?! i guess XD
giannakisftw,maybe ezrial
Meldanen ( ͡° ͜ʖ ͡°),is she one of the famous designers of cyprus?
El Bonko,Better ask yourself
Mel0n,as well as the banan
Kahlan,Get a room y'all I'm trying to understand Glen logic.
Nodtriel,https://www.youtube.com/watch?v=FpKALguOGUE
Mel0n,i've never watched the show but i've heard of it
Meldanen ( ͡° ͜ʖ ͡°),-play automatic pointed sisters
Kahlan,"Alas, it is indeed extremely slippery."
Almond™ of the day.,"My elder brother was about a month early, I was right on time, my sister was one day late, and Snot had to be induced because he was refusing to come out."
Con,that could work
Con,"but instead of cream cheese it will have cheddar, instead of biscuit bottom, it will have spaghetti, and instead of fruit topping, it will have tomato sauce"
Con,i didnt meet cassoulet 😢
Mel0n,uh
Kahlan,"Ah yes, welcome to my world."
Nodtriel,the living channel
giannakisftw,"if its for a giant bunny, i am happy to be a piramatozo"
Meldanen ( ͡° ͜ʖ ͡°),*CPU
Nodtriel,https://www.youtube.com/watch?v=7h1kDYFMCVA
Almond™ of the day.,meet your meat
giannakisftw,"these *matthews* seems very suspicious. i dont buy it, they are not 5 ducks"
milkypaws,And got kicked off the show
Meldanen ( ͡° ͜ʖ ͡°),well that was a weird question melon
giannakisftw,has any one seen 7deadly sins s2?
Nodtriel,$128.75 /month before taxes? SOLD!
Kahlan,<:eqeqeq:534427246488977418>
Mel0n,can't be bothered
Kahlan,"you can ride them until wherever you needed to go, dismount and they will wait around for a while but will reset once you whistle for roach"
Con,i've seen it before but probably on fb
Mel0n,what's on it tho
Con,"too late, i left that area a while ago Q-Q"
giannakisftw,From my rs discord server .... :P
giannakisftw,#neverlucky
milkypaws,But wait for it... At night you can remove the skirt part for the party
Con,True
giannakisftw,"hot grill in the bed: * seductive voice * con, i am naked under the bed sheets, wanna come and check? *wink wink*
con: * fapping over yasuos losing* go away thot!"
Turok,https://twitter.com/i/status/1151636307124166656
Con,<:luv:589353176692555800>
Kahlan,Yeah no the app itself isn't opening
Nodtriel,"Work 3, okay
Love 2, try -20
Wealth 4, ahahahaha no
Health 2, eh more like a 3-4"
Mel0n,i love it
Almond™ of the day.,He needs to add the snack react.
Mel0n,die adobe
Kahlan,Lol
Meldanen ( ͡° ͜ʖ ͡°),explain it with rl glen logic
Con,I don't even know if I'm in the vulnerable group xD
Con,my family's koupepia are also my favorite
Mel0n,i used it in my food yesterday
Mel0n,Aftiou!!!?
Mel0n,ouff
giannakisftw,i just realised..... i havent heard ANYTHING about zin zao for years 0.o
Meldanen ( ͡° ͜ʖ ͡°),Can't remember seeing any
Almond™ of the day.,So sweet
Mel0n,O he got his 6 mil subs
Turok,It's about time the narrative team behind Warcraft slapped each other in the face.
Almond™ of the day.,Woah.
Con,true <:eqeqeq:534427246488977418>
Nodtriel,crustacean?
Mel0n,she was at ccc
Almond™ of the day.,https://tenor.com/view/ha-laugh-lol-happy-leonardo-dicaprio-gif-4488606
giannakisftw,"lol, that surprsied u? i played miultiple games, with yone zed and yasuo spread on the 2 teams. sometimes  even mirrors with them, lol"
Con,oh
giannakisftw,is there a p;lpace in cy were we can try venison?
Con,all of them are magnificent ❤️
Mel0n,https://twitter.com/joker_qq
Mel0n,<:urieiru:534427197218357248>
Con,noice
Mel0n,gib food
Con,Assassin's Katoureed
Mel0n,<:omg:674228533676998683>
Nodtriel,:P
Meldanen ( ͡° ͜ʖ ͡°),😮
giannakisftw,makes sense oti je to tilefono tou en na to idio
giannakisftw,why does the ammount of words matter?
Nodtriel,yup very useful
Mel0n,ekama sou request sto revolut
giannakisftw,hahahahaa
Almond™ of the day.,he sent it to me :3
giannakisftw,"they befriend me immidiently, we had some fun but pretty much i looked like those pervy anime characters when their perverted dreams get crushed... yea... 😛 BUT! then they spoke the magic words: * we still w8 for our female friends that they will accompany us! , the will stay in the next room!!! oh and the best part!!! they are not shy, they will be naked all day and we will have keys for their room!!! u know where this is going to huh? 😉 * wink wink *  * 
inner me: :3 we are back in the game baby!!!! 
i patiently w8, and suddently they arrived!
 * hey boisssssssssss * a female voice said and she was showing us her leg through the door to tease us.
a sexy long leg... and then the girls reveal them selfs all naked and...... with their DICKS hanging between their thighs...."
Almond™ of the day.,The bottom right one
Almond™ of the day.,"Oh, right"
Mel0n,<:eqeqeq:534427246488977418>
Almond™ of the day.,"They pay ""X"" days in total for the whole job."
Mel0n,and i use it without being careful
Almond™ of the day.,Anything can be salted.
Nodtriel,"Graphic designers are detectives Confirmed!
https://www.youtube.com/watch?v=r86eID8R8O8"
Mel0n,@Slot 🍓 WOLOLO
Turok,Game
Almond™ of the day.,They
Nodtriel,"and all cinematics
||https://www.youtube.com/watch?v=yGGy2GizTMA||"
Con,i dont remember what the combat was like at all
Con,i dont mind <:eqeqeq:534427246488977418>
Almond™ of the day.,Con's buying.
Mel0n,"I also may not come, I fucked my foot"
giannakisftw,xD
Almond™ of the day.,https://9gag.com/gag/ag5m1Xg
giannakisftw,s3 i ment*
Mel0n,-play TAKE THAT - RULE THE WORLD
Mel0n,tzozef?
Meldanen ( ͡° ͜ʖ ͡°),The ol'
Con,fb memory
giannakisftw,"its not gonna happen.  they might let it open now, for experimentation, but unique passives do not stack."
Mel0n,but i can't help because i've never used it
Con,it's very interesting
giannakisftw,ok ok!!! i will not do it agian
Nodtriel,garbogame
Con,i was actually not watching it on pop corn time intentionally in case we went to see it at the event
Turok,Real life
Nodtriel,@xdo go 🥥
Almond™ of the day.,"Yes, I think you're that"
Almond™ of the day.,Huehuehue
Con,@H Chof 🍈 @G Xoxo🌷:) you left the voice chat?
Con,<:sadness:534426569406545921>
Almond™ of the day.,yes
Con,https://www.youtube.com/watch?v=MlGezNnxIVs
Turok,https://www.youtube.com/watch?v=VyiwEHzsg14&list=PLPAo7fbegDJ9irvV9IeckEfqgJfmgym8K
giannakisftw,@xdo go 🥥@xdo go 🥥
Con,https://www.facebook.com/watch/?v=1063279507083569
Con,The internet is especially shit today -.-
Kahlan,forgot about that part <:eqeqeq:534427246488977418>
Con,the new patch is live
Nodtriel,QQ
Meldanen ( ͡° ͜ʖ ͡°),https://www.youtube.com/watch?v=-SjuiawRMU4
giannakisftw,bruh... u miss spelled one piece
giannakisftw,"about money, both vacations  with friends were low budget vacations, and this vacations with grandma its payed by granda 😛"
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=qZdMnSqWwLk
Turok,but why
Almond™ of the day.,I'm not sure what I am.
Kahlan,you should do all the corona awareness videos popping up everywhere
Con,pooj!
milkypaws,"guys, we'll be having one-off D&D sessions this sunday if any of you are interested"
Almond™ of the day.,Because you will smell.
Kahlan,https://www.facebook.com/Pretty52Official/posts/3450309515011128?__xts__%5B0%5D=68.ARDqfyV_fKM7NDZSETjyVvdBM-CzsQKHCz8UgF9La4YvFRBqTg87g4bY677ZoDs5tzr_gfKXkV9EvJV6iiL84EbD1hEmacbgXXGiqcJP-ZL5nx2lZVj5WouyDHX49R_urO1hNx2mxdxT-sepdvbYCp9dPaXCsUqIFSzSHqL1fxR3udXqGNWQp_1W3FbZqqxiKNQiDeR7xng3LImiMQL7fiQ1YEkXUYBEZqXVX7dabyDvxqMBLngo6FgYE_-QrkT_FFdKJaS_0eIrP30p1MSEm_2QlHXRIqhGmo37R_baEWze48WGZDB6qjSPR8TFHmgButdRwhFRmkRAb1LU_SaGj_wzmF5n1qA66AiaNcrAZf24QMKW9FtZ-jVl0Tq1qJ-uJvY&__tn__=C-R
Almond™ of the day.,He has a joker mouth on one side
Con,👁 👄 👁
Meldanen ( ͡° ͜ʖ ͡°),o no
Con,https://www.youtube.com/watch?v=ydbdtdgCu14
giannakisftw,and one piece ❤️
Mel0n,don't be ridiculous
giannakisftw,<:uwu:534426569423323147>
giannakisftw,"i mean ok, i am a pleby animal... but what about the rest? 😦"
Mel0n,XD
El Bonko,No
Turok,Joseph
giannakisftw,$^#@*$$^$^#@&$*$@&@
Mel0n,O bebe
Kahlan,"@Slot 🍓  i am curious, did they say anything to you that u will be in the priority team to take the coronas vaccine?"
giannakisftw,there is dedication behind it
giannakisftw,https://giphy.com/gifs/vortex-pomeranian-eyebleach-aoElDL3aHD7La pomeranians!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ❤ ❤ ❤ why are htey so perfect!?!?!?! 😍
giannakisftw,"jo helen and chip, builded 1 for me, with componets they had"
Mel0n,GIMME
Nodtriel,"The fist time I tried to wake up was because a voice i my head kept saying ""You are in a dream, wake up!"""
giannakisftw,Ok........
Almond™ of the day.,"> how do you get sunburnt lips?
@xdo go 🥥 I even had SPF 30 lip balm on."
Meldanen ( ͡° ͜ʖ ͡°),we need to find more gkeim
Con,no
giannakisftw,xD
giannakisftw,xD
Con,im halfway through the first season
Mel0n,<:lipbalm:534433099782553611>
Turok,Got my Maroulla
giannakisftw,NO
Mel0n,bonko knows
Con,https://giphy.com/gifs/live-chicken-1Xd7ns1I3owGA?fbclid=IwAR1J0r-9KQXKf3-P8uzTyTHOUok_4jxUWrJhcfKSouphwdK5Y_cyFwqruis
giannakisftw,"oh yea u r rihgt.... for some reason  i rememebr gamora less human-like, and more alien-like"
Mel0n,only thing i have is wealth i'm gonna lose that too with rent
Kahlan,"""but i can't afford to pay any of them yet and i need to place this new one what am i supposed to do"""
milkypaws,"It was good, I need more ppl teaching games though :("
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=3GwjfUFyY6M
Mel0n,yep ideally 3080 3070
Nodtriel,Looks good
Meldanen ( ͡° ͜ʖ ͡°),yens
giannakisftw,"Jo, they captured this photo , without my will. I did what a mature man would do. I stood up and screamed at them * thelis poutouton? *"
Con,henlo henlo
Con,of course
giannakisftw,eh.... an mas timisi o kirio chipitilos na peksoume
Mel0n,there's a black mirror ep of a thing like this
giannakisftw,Sushi*
Con,hecc
Mel0n,let alone phrases and sayings
giannakisftw,XD
milkypaws,😂 Cats and mysteries
Turok,Class: Apothecary - Disabled - Experience - Age - A
Meldanen ( ͡° ͜ʖ ͡°),ahaha
Turok,die
Almond™ of the day.,That dress looks cheap.
Turok,Has come up with its own script
Mel0n,or very saturated colour one
Almond™ of the day.,An animal character.
El Bonko,"I am the Alpha and the Omega, the First and the Last, the Beginning and the End."
Con,lillia?
Mel0n,or can i post spoilers
giannakisftw,@H Chof 🍈
Nodtriel,"https://chrome.google.com/webstore/detail/watch-netflix-together/fdjglnlhapkoahdmanogpccpmmpnakje?hl=en#:~:text=Watch%20Netflix%20Together%20enables%20you,re%20thousands%20of%20miles%20apart."
Almond™ of the day.,So plis. Keep yo' stanky vag away from me.
milkypaws,its the full game now
Con,"as i was leaving, i drove as slow as possible next to the bus to ensure it won't immediately leave <:eqeqeq:534427246488977418>"
Con,we need more creepypasta reading from sibling!!
giannakisftw,"Again, doc is on vacation. U will have to w8 ~30 more hours for the cure :P"
Almond™ of the day.,Are you thinking of anchovies?
Nodtriel,https://www.pixivision.net/en/a/5420
Meldanen ( ͡° ͜ʖ ͡°),hair cair
Nodtriel,oh he got the votes
Almond™ of the day.,noice
giannakisftw,replace mum and dad with amazon and computer universe.... QQ
Con,@H Chof 🍈 you upgrading the pc?
incognito,I was going insane
Con,"i understand how he feels, though. there are time that the game is fun and challenging, and then in the end, one of the winners says ""gg ez"" and immediately ruins everything"
Mel0n,<:hue:559379418028441617>
Almond™ of the day.,I do have fish sticks.
Mel0n,i've watched the full human snuff film
Almond™ of the day.,I've been doing the in-house stuff.
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=62IZNl2CtDs
giannakisftw,"no, ymron on the 3rd part xD"
Nodtriel,yes :P
Turok,Intimate cinematics like these work so well with in game graphics due to how expressive they can make the characters be.
Meldanen ( ͡° ͜ʖ ͡°),🛡️
Con,fb is full of these now <:timore:536173424716808202>
Con,woah
Turok,Text you copy will automatically show herePin copied text snippets to stop them expiring after 1 hourSlide clips to delete themText you copy will automatically show hereText you copy will automatically show herePin copied text snippets to stop them expiring after 1 hourText you copy will automatically show here
Nodtriel,:P
Almond™ of the day.,Is that rice on her face
giannakisftw,chess is sexist?  #banchess
Con,ah xD
Con,what's your friend code on switch?
Con,Maybe
Con,.birb
giannakisftw,"Hm..... fair enough, but ihavent seen her biting any one else either!!!!"
Kahlan,WAT
Con,"ah right, pastels yes"
Almond™ of the day.,I present you with
Turok,VAGNETOS
Mel0n,until he killed a human
Mel0n,exams?
giannakisftw,"i wanna try out samira, and the  other new champion, teh deer one"
Mel0n,"survey asks, how did you find that job?
- job board
- word of mouth
- anal"
Almond™ of the day.,<:sadness:534426569406545921>
giannakisftw,this is what autto chess is
milkypaws,which ive never seen
Meldanen ( ͡° ͜ʖ ͡°),someone's knocking on my door
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=-XgNFLo5WOI
giannakisftw,its subjective
Con,<:eqeqeq:534427246488977418>
Mel0n,ooooooo
Almond™ of the day.,Unless it's not self farmed...
Almond™ of the day.,the pastas were pretty dull
Mel0n,sigh
Con,both
Kahlan,Yes it's done it's rounds a few times. Funny erry time tho <:eqeqeq:534427246488977418>
Nodtriel,or that
Meldanen ( ͡° ͜ʖ ͡°),can barely use scissors
Con,his ult can be good vs ranged champs
Mel0n,i lov jazzuh
milkypaws,Silly typo while baking cookies
Con,"before you know it, he'll like nugget porn as well"
Almond™ of the day.,PETA's latest load of backlash is from attacking Steve Irwin. xD
Nodtriel,https://chrome.google.com/webstore/detail/material-simple-dark-grey/ookepigabmicjpgfnmncjiplegcacdbm
giannakisftw,i am not sure u know what favorite means... xD  (if u r telling me that u only like those 10-15 dishes u marked as favorites xD )
Con,did you get any reward?
Con,don't forget there's at least 1 greek guild in every game that has guilds
giannakisftw,"*....but the phone was also exploading and the atmosphare was also exploading, and i was aldo exploading....*"
Mel0n,lookalike
Con,Smol kitten <:sadness:534426569406545921>
giannakisftw,lol
Meldanen ( ͡° ͜ʖ ͡°),-play like a prayer
Meldanen ( ͡° ͜ʖ ͡°),well that's new
Mel0n,actually
Meldanen ( ͡° ͜ʖ ͡°),Or cut an arm off
giannakisftw,a giant ball of bubble wrap
Con,you need a krokodilos courier
Meldanen ( ͡° ͜ʖ ͡°),-play moskau
Kahlan,"It will be a proper party, people can chat with you and you won't feel left out just cos you are unwell. And they can offer moral support."
Meldanen ( ͡° ͜ʖ ͡°),Can do one before food
Meldanen ( ͡° ͜ʖ ͡°),el bonko chose wisely
Turok,Of course you're kidding. There are no earth elementals in Sea of Thieves
Con,what do they do?
giannakisftw,"such a good actor, so dedicated to get that role"
Con,but they didn't say goodbye 😢
Con,https://www.facebook.com/TamilAustralian.com.au/videos/521340451942023/UzpfSTEwMDAwNDYzNzMyNDQwNjo5ODE5NDAzNTU0ODkyMDY/
Meldanen ( ͡° ͜ʖ ͡°),-play good times chic
Con,@Lady Sibling of Cheesehampton 🧀 It's only until
Kahlan,animated here
Con,"apparently the new cyberpunk patch has 200+ fixes, cdpr are trying"
Kahlan,you either like only one thing or you like multiple
Mel0n,no funny interactions with him
Almond™ of the day.,"Awh, but *muuum!*"
Kahlan,get a job Glen
Nodtriel,Woah
Mel0n,Woah
Mel0n,i was gonna say dark cherry style wood parquet for bedrooms
Mel0n,-stop
Turok,I wasn't really having fun.
giannakisftw,Lol rip
giannakisftw,i feel confident i could remember it
Kahlan,"no maybe you are right, location aside since this is cust service for foreign countries it was probably not posted in more ""cypriot"" groups"
Con,probably everyone insta-rerolls when they get him <:eqeqeq:534427246488977418>
Kahlan,Lol
Kahlan,<:eqeqeq:534427246488977418>
Kahlan,that designer needs to learn to take a straight photo first
Nodtriel,@H Chof 🍈 halp
Con,I need that flamingo villager
giannakisftw,Why is it limited to 12 though? XD
giannakisftw,HA!! jokes on u!!!!! MUM!!! IT HAPPENED! YES!! IT REALLY DID! A GIRL GAVEME HER PHONE NUMBER!
giannakisftw,its not the doggo
giannakisftw,reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
giannakisftw,#hardworking
giannakisftw,What do u think? :P
Con,can't gonna go to sleep
Meldanen ( ͡° ͜ʖ ͡°),Kinda why mobile gamers have the potential to become superior
Con,"A year ago we were preparing to travel to japan, this year we're preparing for plague 😢"
Mel0n,It's a common thing in dreams apparently
Kahlan,https://tenor.com/view/iguess-gif-6228980
Mel0n,%ProgramData%/Origin
Meldanen ( ͡° ͜ʖ ͡°),you can't stop staring
Con,<:eqeqeq:534427246488977418>
giannakisftw,i legit got concern about him and talked to him in the post game lobby xD
Almond™ of the day.,Heehee! I just started watching this series this week
Con,"no, then who's gonna be taking phone calls for us?"
Mel0n,This is speaking to me
Con,"yeah, my grandma was taking the same pills for a very long time cause she didn't want to go to the doctor, until she had to be hospitalized. she's fine now and taking different pills"
Meldanen ( ͡° ͜ʖ ͡°),😦
Meldanen ( ͡° ͜ʖ ͡°),conpai
Kahlan,"We were told before to offer this if the customer is ""showing signs"" of being distressed/ frustrated/ annoyed or wanted to speak to manager.
now all we do is ""oh sorry can't do that, can't do this, can't speak to manager""

If they tell us ""don't do this anymore guys"" and haven't given us alternative, i will go and make their life hell too so they can join the fun."
Almond™ of the day.,What about kopri?
Con,would be cool if this big boi could be my new roach xD
Meldanen ( ͡° ͜ʖ ͡°),I thought you understood everything from that intro?
Mel0n,"ryouta, you've grown"
Mel0n,:p
giannakisftw,i know
milkypaws,Eskeftoumoun pempti
Meldanen ( ͡° ͜ʖ ͡°),i hate scissors okay?
Kahlan,AHAHAHAH
Almond™ of the day.,Ahahaha
Con,"@G Xoxo🌷:) we were playing this aram game for half an hour, at first we were losing but we managed to kill their inhibitor eventually, we were winning almost every teamfight and defended for along time. eventually, they won because op team, and yasuo was like ""ez"""
Con,"i dont need to ask if it's good, because it IS good"
Nodtriel,Also forgot the carpet hidden
Kahlan,still gets you one free toilet flush
giannakisftw,also karthus q could have spell vamp synergy
Con,late aimokatharsi today <:sadness:534426569406545921>
Nodtriel,I will be fire whenever I want
Mel0n,yes that's lucky
Meldanen ( ͡° ͜ʖ ͡°),-play hungry like a wolf
Kahlan,That was my second option tbh cos the screen itself is smashed as well.
Mel0n,||I summoned cthulhu with a ritual because he brain washed me to believe in him and become his slave||
Kahlan,if it's evening then i khant
giannakisftw,"i can see this having a very bad conclusion, if some one watch it while he is high"
Con,@xdo go 🥥 i need your phone for revolut
Con,mine is everything 4 except health is 2. everything is a lie
Turok,The Devil May Cry puns
Kahlan,looks legit
Con,yes haha
Con,yes
Kahlan,Ironically this is exactly how the internet behaves <:eqeqeq:534427246488977418>
giannakisftw,u have a switch???
Nodtriel,<:meloooon:534426568697577505>
Meldanen ( ͡° ͜ʖ ͡°),👀
Turok,I'm full kookabura and last part of Wagtail
giannakisftw,* chess* the only common thing is the 8x8 arena xD
milkypaws,waiting for him to notice :p
Con,so we won't even see it before we die?
Con,yeah
Kahlan,"the other I was going to go for my hernia surgery but my surgeon was measuring and marking the whole of my body for some reason, i was just standing infront of him naked in T pose as he marked my whole body head to toe with lines and shit. as he was doing my right leg last i asked him why he needed to make all these marks all over my body as the hernia was one small area, he replied with ""it's what we do, that's the process"" and i was just like ""oh right"" and accepted it without any further questions"
Con,"my guess is it's someone cosplaying goofy for whatever reason, and trolls stole the pic and it escalated"
Con,🔪
giannakisftw,"looks like an 80s, 70s kilotakki"
giannakisftw,gosh...
Almond™ of the day.,@Slot 🍓 con
Almond™ of the day.,"Awh, it's a #freethenipple cake!"
Con,<:owo:651525613257228288>
Con,what happened?
giannakisftw,( worth a try xD )
giannakisftw,interesting 0.o
Almond™ of the day.,Now I understand even less how it was so popular.
Mel0n,on the pc
milkypaws,"nah its competitive, also it reminds me of tetris"
Nodtriel,and beyond
Almond™ of the day.,So smol
giannakisftw,🤷‍♂️
Mel0n,❤️ jazzy boi
Mel0n,incredible video worth every repost
milkypaws,This designer can't even make normal dresses 😣😣
Meldanen ( ͡° ͜ʖ ͡°),"@Joph 🍋 if you wanna play around with the bot, here is the repo https://github.com/Meldanen/bonko"
giannakisftw,thats 1 shmexxy cheese there mister!
Con,he's trying to live up to his name
giannakisftw,@Slot 🍓
Mel0n,i can't comfortably reach the scroll wheel
giannakisftw,hahaahahha
Almond™ of the day.,"Yes, those"
giannakisftw,yea... i was talking with my frind sokratis last night
giannakisftw,"until  ~novemember i tihnk it was, on my brothers pc"
Kahlan,Sounds like first world problems
Nodtriel,-skip
Mel0n,I have managed it
Kahlan,🥳
giannakisftw,guess they need to finish the patching?
giannakisftw,"the only common thing that it has to do with actuall chess, is that they both are played in 8x8 squared arena xD"
Meldanen ( ͡° ͜ʖ ͡°),👀
Turok,And their size is actually accurate!!
Kahlan,something you can relate to!
Almond™ of the day.,I have a few doggo teeth too
Nodtriel,:P
Almond™ of the day.,"If y'all ever get badly sunburnt lips, smother them in Sudocrem overnight."
Nodtriel,you mean you don't get random pieces in chess?
milkypaws,I'm crying 😂  https://www.youtube.com/watch?v=NkMtcOA41cM
Con,whut
Mel0n,had to move the bed away from the wall
Con,why would any kid add a person with that image? that's literal nightmare material <:eqeqeq:534427246488977418>
Almond™ of the day.,So what's the story behind this?
Almond™ of the day.,HAHAHA.
Almond™ of the day.,I want to be The Hermit right now.
Kahlan,Why are we allso thirsty in here
Nodtriel,That's because Ginko is best cat
Mel0n,oh baby
Mel0n,if you know of him
Kahlan,<:eqeqeq:534427246488977418>
giannakisftw,"Well its ok from my side, u have to ask the rest though"
Con,In one of Ross's games there was someone with op morde build. 1v5 morde will return
Kahlan,^
Nodtriel,https://www.youtube.com/watch?v=zwiBcuPhOXY
Con,"deponia is funny, i played the first one"
Kahlan,Funnily enough I don't mind imitation crab.
Almond™ of the day.,"If you get reflux and know mint makes it worse, I wouldn't try it."
Con,"> Ever since eating sushi in Japan, I am never jelly.
@Lady Sibling of Cheesehampton 🧀 samesies"
Nodtriel,"Abroad in Japan also mentioned how quiet it is
https://www.youtube.com/watch?v=Qr5sS4c_jZk"
Mel0n,and the banans are green
Almond™ of the day.,You're just fishing for compliments now.
Mel0n,DIE
Con,lol unlucky directions xD
Con,garboezpz
Con,haha
Meldanen ( ͡° ͜ʖ ͡°),-skip
El Bonko,Follow the white rabbit
Mel0n,-next
Con,"yes, best game, definitely not garbogame"
Con,do you actually like the anime?
Almond™ of the day.,Is this just for China or set in China.
milkypaws,"its on GOG though, yeah ?"
Almond™ of the day.,Do your whole family avoid going to the doctor when they need to <:nein:534430066877136899>
giannakisftw,he is close second*
giannakisftw,duh!
Mel0n,Lol
giannakisftw,Getting ready for sushy
giannakisftw,grandma*
giannakisftw,"anw, just name me the place and time, and # of ppl joinign and iw ill book"
Mel0n,GRANDE PANTUSOS
Nodtriel,-skip
Con,3
giannakisftw,"for now i am on standby mode, na pao stin mindgeek"
giannakisftw,that obama ending though xD
Mel0n,i'm just sat here minding my own business
Nodtriel,"watched it, its a good one"
Almond™ of the day.,https://i.imgur.com/rxBfKjj.gifv
HITM0N,xD
